origin,destination,origin_latitude,origin_longitude,destination_latitude,destination_longitude
CDG,ABJ,49.012798,2.55,5.261390209,-3.926290035
CDG,ATL,49.012798,2.55,33.6367,-84.428101
CDG,JNB,49.012798,2.55,-26.1392,28.246
CDG,LAX,49.012798,2.55,33.94250107,-118.4079971
CDG,MIA,49.012798,2.55,25.79319954,-80.29060364
CDG,MEX,49.012798,2.55,19.4363,-99.072098
CDG,JFK,49.012798,2.55,40.63980103,-73.77890015
CDG,SFO,49.012798,2.55,37.61899948,-122.375
CDG,PVG,49.012798,2.55,31.14340019,121.8050003
CDG,IAD,49.012798,2.55,38.94449997,-77.45580292
NRT,HNL,35.76470184,140.3860016,21.32062,-157.924228
ICN,BKK,37.46910095,126.4509964,13.68109989,100.7470016
ICN,FRA,37.46910095,126.4509964,50.033333,8.570556
ICN,HKG,37.46910095,126.4509964,22.308901,113.915001
ICN,LAX,37.46910095,126.4509964,33.94250107,-118.4079971
ICN,JFK,37.46910095,126.4509964,40.63980103,-73.77890015
ICN,SYD,37.46910095,126.4509964,-33.94609833,151.177002
ICN,TPE,37.46910095,126.4509964,25.0777,121.233002
ICN,NRT,37.46910095,126.4509964,35.76470184,140.3860016
LHR,BOS,51.4706,-0.461941,42.36429977,-71.00520325
LHR,ORD,51.4706,-0.461941,41.9786,-87.9048
LHR,HKG,51.4706,-0.461941,22.308901,113.915001
LHR,JNB,51.4706,-0.461941,-26.1392,28.246
LHR,LAX,51.4706,-0.461941,33.94250107,-118.4079971
LHR,SFO,51.4706,-0.461941,37.61899948,-122.375
LHR,SIN,51.4706,-0.461941,1.35019,103.994003
LHR,IAD,51.4706,-0.461941,38.94449997,-77.45580292
PEK,SZX,40.08010101,116.5849991,22.63929939,113.810997
CAN,PEK,23.39240074,113.2990036,40.08010101,116.5849991
CAN,LAX,23.39240074,113.2990036,33.94250107,-118.4079971
CAN,SYD,23.39240074,113.2990036,-33.94609833,151.177002
AUH,LHR,24.43300056,54.65110016,51.4706,-0.461941
AUH,JFK,24.43300056,54.65110016,40.63980103,-73.77890015
AUH,CDG,24.43300056,54.65110016,49.012798,2.55
AUH,ICN,24.43300056,54.65110016,37.46910095,126.4509964
AUH,SYD,24.43300056,54.65110016,-33.94609833,151.177002
ICN,BKK,37.46910095,126.4509964,13.68109989,100.7470016
